"ticker","date","close_price","daily_change_pct","performance_type"
"AAPL","2025-04-03","203.19","-9.25","WORST DAY"
"AAPL","2025-04-09","198.85","15.33","BEST DAY"
"AMZN","2022-04-29","124.28","-14.05","WORST DAY"
"AMZN","2022-02-04","157.64","13.53","BEST DAY"
"GOOGL","2023-10-25","125.61","-9.51","WORST DAY"
"GOOGL","2024-04-26","171.95","10.22","BEST DAY"
"MSFT","2022-10-26","231.32","-7.72","WORST DAY"
"MSFT","2025-04-09","390.49","10.13","BEST DAY"
"SPY","2025-04-04","505.28","-5.85","WORST DAY"
"SPY","2025-04-09","548.62","10.50","BEST DAY"
"TSLA","2025-03-10","222.15","-15.43","WORST DAY"
"TSLA","2025-04-09","272.20","22.69","BEST DAY"
